event_time,actor,action,target,outcome
2024-06-01T00:02:16Z,u-9013,key.rotate,repo/beta,allow
2024-06-01T00:02:17Z,svc-sync,role.revoke,repo/beta,deny
2024-06-01T00:02:18Z,svc-sync,session.login,bucket/curated,deny
2024-06-01T00:02:19Z,svc-sync,object.read,repo/alpha,deny
2024-06-01T00:02:20Z,svc-batch,object.read,repo/alpha,allow
2024-06-01T00:02:21Z,u-2277,object.read,repo/alpha,deny
2024-06-01T00:02:22Z,svc-sync,key.rotate,repo/alpha,allow
2024-06-01T00:02:23Z,svc-sync,session.login,repo/beta,deny
2024-06-01T00:02:24Z,svc-batch,key.rotate,bucket/curated,allow
2024-06-01T00:02:25Z,svc-sync,session.login,repo/alpha,deny
2024-06-01T00:02:26Z,u-9013,session.login,bucket/raw,deny
2024-06-01T00:02:27Z,u-1041,session.login,repo/beta,allow
2024-06-01T00:02:28Z,u-9013,object.read,bucket/curated,deny
2024-06-01T00:02:29Z,u-9013,key.rotate,bucket/raw,allow
