collected_at,metric,host,value
2024-06-01T00:01:14Z,mem.pct,host-b,19.992
2024-06-01T00:01:15Z,cache.evictions,host-a,73.100
2024-06-01T00:01:16Z,cache.evictions,host-a,47.224
2024-06-01T00:01:17Z,cache.evictions,host-c,44.723
2024-06-01T00:01:18Z,cache.evictions,host-b,95.500
2024-06-01T00:01:19Z,cpu.pct,host-a,22.046
2024-06-01T00:01:20Z,queue.depth,host-a,19.671
2024-06-01T00:01:21Z,queue.depth,host-c,62.407
2024-06-01T00:01:22Z,cpu.pct,host-c,47.947
2024-06-01T00:01:23Z,cache.evictions,host-a,79.964
2024-06-01T00:01:24Z,cpu.pct,host-c,90.978
2024-06-01T00:01:25Z,mem.pct,host-a,47.803
2024-06-01T00:01:26Z,queue.depth,host-b,78.914
2024-06-01T00:01:27Z,cpu.pct,host-c,80.082
2024-06-01T00:01:28Z,queue.depth,host-c,46.316
2024-06-01T00:01:29Z,cpu.pct,host-a,72.480
2024-06-01T00:01:30Z,mem.pct,host-c,2.755
2024-06-01T00:01:31Z,queue.depth,host-a,80.650
2024-06-01T00:01:32Z,queue.depth,host-b,65.727
2024-06-01T00:01:33Z,mem.pct,host-a,54.866
2024-06-01T00:01:34Z,cpu.pct,host-c,1.424
2024-06-01T00:01:35Z,cpu.pct,host-a,52.658
2024-06-01T00:01:36Z,queue.depth,host-a,98.655
2024-06-01T00:01:37Z,mem.pct,host-a,2.799
2024-06-01T00:01:38Z,cache.evictions,host-c,50.116
2024-06-01T00:01:39Z,cache.evictions,host-b,25.936
2024-06-01T00:01:40Z,mem.pct,host-c,6.090
2024-06-01T00:01:41Z,cache.evictions,host-c,89.770
2024-06-01T00:01:42Z,queue.depth,host-c,82.714
2024-06-01T00:01:43Z,mem.pct,host-c,53.182
2024-06-01T00:01:44Z,cpu.pct,host-a,87.281
2024-06-01T00:01:45Z,cpu.pct,host-a,77.604
2024-06-01T00:01:46Z,mem.pct,host-c,14.156
2024-06-01T00:01:47Z,cpu.pct,host-b,55.648
2024-06-01T00:01:48Z,queue.depth,host-a,78.427
2024-06-01T00:01:49Z,cpu.pct,host-b,24.849
2024-06-01T00:01:50Z,cpu.pct,host-c,77.226
2024-06-01T00:01:51Z,queue.depth,host-a,56.173
2024-06-01T00:01:52Z,queue.depth,host-c,32.561
2024-06-01T00:01:53Z,mem.pct,host-b,69.273
2024-06-01T00:01:54Z,queue.depth,host-a,50.775
2024-06-01T00:01:55Z,cache.evictions,host-a,92.278
2024-06-01T00:01:56Z,queue.depth,host-a,13.713
2024-06-01T00:01:57Z,queue.depth,host-a,44.212
2024-06-01T00:01:58Z,mem.pct,host-a,42.834
2024-06-01T00:01:59Z,cache.evictions,host-a,78.394
2024-06-01T00:02:00Z,cache.evictions,host-a,14.298
2024-06-01T00:02:01Z,queue.depth,host-a,21.959
2024-06-01T00:02:02Z,queue.depth,host-a,88.493
2024-06-01T00:02:03Z,mem.pct,host-b,16.147
2024-06-01T00:02:04Z,queue.depth,host-a,33.912
2024-06-01T00:02:05Z,cache.evictions,host-c,31.853
2024-06-01T00:02:06Z,cache.evictions,host-c,1.948
2024-06-01T00:02:07Z,queue.depth,host-a,44.046
2024-06-01T00:02:08Z,queue.depth,host-c,33.150
2024-06-01T00:02:09Z,cache.evictions,host-a,51.226
2024-06-01T00:02:10Z,cpu.pct,host-a,98.508
2024-06-01T00:02:11Z,cpu.pct,host-b,8.406
2024-06-01T00:02:12Z,cpu.pct,host-a,90.590
2024-06-01T00:02:13Z,cache.evictions,host-b,75.578
2024-06-01T00:02:14Z,cache.evictions,host-c,40.595
2024-06-01T00:02:15Z,queue.depth,host-a,70.042
2024-06-01T00:02:16Z,cache.evictions,host-c,5.753
2024-06-01T00:02:17Z,mem.pct,host-a,42.532
2024-06-01T00:02:18Z,cache.evictions,host-c,93.835
2024-06-01T00:02:19Z,cpu.pct,host-a,80.163
2024-06-01T00:02:20Z,mem.pct,host-a,6.662
2024-06-01T00:02:21Z,queue.depth,host-c,1.155
2024-06-01T00:02:22Z,queue.depth,host-b,92.667
2024-06-01T00:02:23Z,mem.pct,host-c,4.321
2024-06-01T00:02:24Z,mem.pct,host-a,93.813
2024-06-01T00:02:25Z,cache.evictions,host-a,5.038
2024-06-01T00:02:26Z,cache.evictions,host-c,62.867
2024-06-01T00:02:27Z,mem.pct,host-c,28.996
2024-06-01T00:02:28Z,mem.pct,host-a,27.052
2024-06-01T00:02:29Z,cache.evictions,host-a,3.695
