ts,level,service,message
2024-06-01T00:01:12Z,INFO,billing,billing handled request 72
2024-06-01T00:01:13Z,ERROR,billing,billing handled request 73
2024-06-01T00:01:14Z,INFO,search,search handled request 74
2024-06-01T00:01:15Z,CRITICAL,gateway,gateway handled request 75
2024-06-01T00:01:16Z,INFO,gateway,gateway handled request 76
2024-06-01T00:01:17Z,CRITICAL,billing,billing handled request 77
2024-06-01T00:01:18Z,CRITICAL,gateway,gateway handled request 78
2024-06-01T00:01:19Z,DEBUG,gateway,gateway handled request 79
2024-06-01T00:01:20Z,INFO,billing,billing handled request 80
2024-06-01T00:01:21Z,CRITICAL,notifier,notifier handled request 81
2024-06-01T00:01:22Z,WARN,search,search handled request 82
2024-06-01T00:01:23Z,DEBUG,search,search handled request 83
2024-06-01T00:01:24Z,ERROR,gateway,gateway handled request 84
2024-06-01T00:01:25Z,INFO,notifier,notifier handled request 85
2024-06-01T00:01:26Z,ERROR,notifier,notifier handled request 86
2024-06-01T00:01:27Z,ERROR,search,search handled request 87
2024-06-01T00:01:28Z,INFO,billing,billing handled request 88
2024-06-01T00:01:29Z,INFO,search,search handled request 89
2024-06-01T00:01:30Z,DEBUG,notifier,notifier handled request 90
2024-06-01T00:01:31Z,WARN,gateway,gateway handled request 91
2024-06-01T00:01:32Z,WARN,search,search handled request 92
2024-06-01T00:01:33Z,WARN,gateway,gateway handled request 93
2024-06-01T00:01:34Z,CRITICAL,search,search handled request 94
2024-06-01T00:01:35Z,INFO,search,search handled request 95
2024-06-01T00:01:36Z,CRITICAL,search,search handled request 96
2024-06-01T00:01:37Z,WARN,search,search handled request 97
2024-06-01T00:01:38Z,WARN,search,search handled request 98
2024-06-01T00:01:39Z,WARN,billing,billing handled request 99
2024-06-01T00:01:40Z,WARN,notifier,notifier handled request 100
2024-06-01T00:01:41Z,WARN,billing,billing handled request 101
2024-06-01T00:01:42Z,CRITICAL,notifier,notifier handled request 102
2024-06-01T00:01:43Z,DEBUG,gateway,gateway handled request 103
2024-06-01T00:01:44Z,INFO,search,search handled request 104
2024-06-01T00:01:45Z,ERROR,search,search handled request 105
2024-06-01T00:01:46Z,WARN,search,search handled request 106
2024-06-01T00:01:47Z,ERROR,search,search handled request 107
2024-06-01T00:01:48Z,DEBUG,gateway,gateway handled request 108
2024-06-01T00:01:49Z,WARN,gateway,gateway handled request 109
2024-06-01T00:01:50Z,WARN,notifier,notifier handled request 110
2024-06-01T00:01:51Z,WARN,search,search handled request 111
2024-06-01T00:01:52Z,WARN,notifier,notifier handled request 112
2024-06-01T00:01:53Z,CRITICAL,gateway,gateway handled request 113
2024-06-01T00:01:54Z,ERROR,search,search handled request 114
2024-06-01T00:01:55Z,INFO,gateway,gateway handled request 115
2024-06-01T00:01:56Z,ERROR,billing,billing handled request 116
2024-06-01T00:01:57Z,ERROR,billing,billing handled request 117
2024-06-01T00:01:58Z,ERROR,search,search handled request 118
2024-06-01T00:01:59Z,INFO,notifier,notifier handled request 119
2024-06-01T00:02:00Z,ERROR,notifier,notifier handled request 120
2024-06-01T00:02:01Z,INFO,billing,billing handled request 121
2024-06-01T00:02:02Z,WARN,billing,billing handled request 122
2024-06-01T00:02:03Z,INFO,billing,billing handled request 123
2024-06-01T00:02:04Z,CRITICAL,notifier,notifier handled request 124
2024-06-01T00:02:05Z,WARN,notifier,notifier handled request 125
2024-06-01T00:02:06Z,DEBUG,billing,billing handled request 126
2024-06-01T00:02:07Z,CRITICAL,billing,billing handled request 127
2024-06-01T00:02:08Z,INFO,gateway,gateway handled request 128
2024-06-01T00:02:09Z,INFO,billing,billing handled request 129
2024-06-01T00:02:10Z,ERROR,billing,billing handled request 130
2024-06-01T00:02:11Z,WARN,gateway,gateway handled request 131
2024-06-01T00:02:12Z,DEBUG,billing,billing handled request 132
2024-06-01T00:02:13Z,DEBUG,billing,billing handled request 133
2024-06-01T00:02:14Z,CRITICAL,search,search handled request 134
2024-06-01T00:02:15Z,DEBUG,notifier,notifier handled request 135
2024-06-01T00:02:16Z,WARN,gateway,gateway handled request 136
2024-06-01T00:02:17Z,DEBUG,notifier,notifier handled request 137
2024-06-01T00:02:18Z,CRITICAL,notifier,notifier handled request 138
2024-06-01T00:02:19Z,CRITICAL,billing,billing handled request 139
2024-06-01T00:02:20Z,CRITICAL,billing,billing handled request 140
2024-06-01T00:02:21Z,CRITICAL,gateway,gateway handled request 141
2024-06-01T00:02:22Z,ERROR,billing,billing handled request 142
2024-06-01T00:02:23Z,CRITICAL,gateway,gateway handled request 143
2024-06-01T00:02:24Z,WARN,billing,billing handled request 144
2024-06-01T00:02:25Z,WARN,notifier,notifier handled request 145
2024-06-01T00:02:26Z,CRITICAL,gateway,gateway handled request 146
2024-06-01T00:02:27Z,CRITICAL,gateway,gateway handled request 147
2024-06-01T00:02:28Z,DEBUG,notifier,notifier handled request 148
2024-06-01T00:02:29Z,INFO,gateway,gateway handled request 149
